Bank Code,IFSC
CMCB,HDFC0CCMCBL
CMCX,ICIC00COMCB
CMDX,TNSC0010000
CMLX,HDFC0COMMCO
CMSV,UTIB0SCHAIT
CNRB,CNRB0RTGS01
CNSX,ICIC00CNSBL
COCX,HDFC0CCCB02
COLX,COAS0000001
COMX,IBKL0443MCB
CONX,ICIC00CCBLT
COSB,COSB0000025
CPDX,YESB0CDC016
CPSN,UTIB0SCPSBN
CRBX,IBKL0722CCB
CRLY,CRLY0000001
CRSX,CBIN0CGDCBN
CRUB,CRUB0000001
CSBK,CSBK0000001
CSBX,CSBX0CSB001
CTBX,IBKL01642C1
CTOX,RSCB0034099
CTUX,HDFC0CCUCBL
CUBX,NA
CUCX,SVCB0006002
CURX,YESB0CB0001
CUTX,ORCB0CTC001
CZCX,NA
CZUX,HDFC0CRCZUC
DAHX,HDFC0CDMCBD
DAUX,UTIB0SDUCB3
DBAX,HDFC0CASB01
DBSS,DBSS0IN0811
DCBL,DCBL0000037
DCBX,TNSC0011700
DCCX,APBL0014001
DCDX,APBL0005001
DCEX,APBL0022001
DCKX,APBL0013001
DCMX,ICIC00MDCCB
DCNX,KKBK0DCUB01
DCPX,ICIC00PDCBL
DCSX,ICIC00SJDCB
DCTX,ICIC00VDCBL
DCUX,HDFC0CDUCBL
DDBX,TNSC0010100
DDCX,WBSC0DJCB01
DDDX,WBSC0DDCB01
DDHX,YESB0DZSB02
DENS,YESB0DNB002
DEOX,DEOB0000001
DEUT,DEUT0000PBC
DEUX,ICIC00DUCBL
DEVX,YESB0DEVB01
DGBX,SBIN0RRDCGB
DHBX,UTIB0SDCCB1
DHKX,BKID000DCBL
DHUX,HDFC0CDUCBE
DIBX,ICIC00BBDCB
DICX,APBL0003001
DISX,ICIC00ZSBLS
DIUX,HDFC0CDILIP
DKCL,ICIC00DKDCB
DKSX,RSCB0037099
DLXB,DLXB0000146
DMCB,IBKL0501DMC
DMCX,HDFC0CDMOBL
DMKB,DMKJ0000001
DNDC,IBKL0483DND
DNSB,DNSB0000001
DNSX,HDFC0CDNSBA
DOBX,IBKL0116DPC
DRGX,NA
DSBX,HDFC0CDSBNB
DSCB,DLSC0000001
DSHX,ICIC00DCBLS
DSPX,IBKL0256DSC
DSUX,SVCB0004003
DTCX,ICIC00RBDCB
DTPX,ICIC00PRDCB
DUCX,HDFC0CDACBL
DUNX,RSCB0021099
DVDX,KSCB0701001
DYPX,IBKL0463DYP
EBIL,EBIL0000001
ECBL,HDFC0CECBL2
EDBX,SBIN0RRELGB
EDCX,TNSC0010800
ESAF,ESMF0000001
ESFB,ESFB0000001
ETCX,ICIC00ETAWH
ETDX,ICIC00ETDCB
EUCX,ICIC00ETUCB
EWCX,HDFC0CEUCBL
FCBX,UTIB0SFAZ01
FCCX,UTIB0SFDK03
FCOX,ICIC00FDCCB
FDFX,ICIC00FDCBL
FDRL,FDRL0000379
FEKX,FDRL012FCUB
FGCB,HDFC0CTUCBL
FINF,FSFB0000001
FINO,FINO0000001
FINX,YESB0FINCO2
FRIX,UTIB0SFCB01
FSCX,UTIB0SFGH01
FZCX,UTIB0SFCB02
FZSX,ICIC00FZSBL
GACX,GSCB0UGACBL
GADX,ICIC00GUCCB
GAMX,ICIC00TGMUC
GANX,HDFC0CGCBLG
GBCB,GBCB0000001
GCBX,NA
